http://epos-ip.org/WP16/Analogue, "EPOS Analogue Laboratories"
http://epos-ip.org/WP16/Analogue/Main_Setting, "Main Setting"
http://epos-ip.org/WP16/Analogue/Process/Hazard, "Process/Hazard"
http://epos-ip.org/WP16/Analogue/Deformation_Type, "Deformation Type"
http://epos-ip.org/WP16/Analogue/Material, "Material"
http://inspire.ec.europa.eu/codelist/NaturalGeomorphologicFeatureTypeValue/buriedFeature,"buried feature","Landforms, geomorphologic surfaces, or paleosols covered by younger sediments."
http://inspire.ec.europa.eu/codelist/NaturalGeomorphologicFeatureTypeValue/constructionalFeature,"constructional feature", "Site of a landform that owes its origin, form, position, or general character to depositional (aggradational) processes, such as the accumulation of sediment"
http://inspire.ec.europa.eu/codelist/NaturalGeomorphologicFeatureTypeValue/crest, crest, "A geomorphologic component of hills consisting of the convex slopes (perpendicular to the contour) that form the narrow, roughly linear top area of a hill, ridge, or other upland where shoulders have converged to the extent that little or no summit remains; dominated by erosion, slope wash and mass movement processes and sediments"
http://inspire.ec.europa.eu/codelist/NaturalGeomorphologicFeatureTypeValue/degradationFeature, "degradation feature","A geomorphologic feature resulting from the wearing down or away, and the general lowering or reduction, of the Earth's surface by natural processes of weathering and erosion, and which may infer the processes of transportation of sediment."
http://inspire.ec.europa.eu/codelist/NaturalGeomorphologicFeatureTypeValue/depression,depression, "Any relatively sunken part of the Earth's surface; especially a low-lying area surrounded by higher ground."
http://inspire.ec.europa.eu/codelist/NaturalGeomorphologicFeatureTypeValue/destructionalFeature, "destructional feature", "Site of a landform that owes its origin, form, position, or general character to the removal of material by erosion and weathering (degradation) processes resulting from the wearing-down or away of the land surface."
http://inspire.ec.europa.eu/codelist/NaturalGeomorphologicFeatureTypeValue/drainagePattern, "drainage pattern", "The configuration or arrangement of stream courses in an area, including gullies or first-order channelized flow areas, higher order tributaries, and main streams."
http://inspire.ec.europa.eu/codelist/NaturalGeomorphologicFeatureTypeValue/eolian, "eolian features", "Geomorphologic landscapes and landforms related to wind-dominated environments."
http://inspire.ec.europa.eu/codelist/NaturalGeomorphologicFeatureTypeValue/erosionSurface, "erosion surface", "Geomorphologic landscapes and landforms related dominantly to water erosion but excluding perennial channel flow (i.e. fluvial, glaciofluvial) or eolian erosion."
http://inspire.ec.europa.eu/codelist/NaturalGeomorphologicFeatureTypeValue/erosional, "erosional features", "A land surface shaped by the action of erosion, especially by running water."
http://inspire.ec.europa.eu/codelist/NaturalGeomorphologicFeatureTypeValue/exhumedFeature, "exhumed feature", "Formerly buried landforms, geomorphologic surfaces, or paleosols that have been re-exposed by erosion of the covering mantle."
http://inspire.ec.europa.eu/codelist/NaturalGeomorphologicFeatureTypeValue/freeFace, "free face", "A geomorphologic component of hills and mountains consisting of an outcrop of bare rock that sheds rock fragments and other sediments to, and commonly stands more steeply than the angle of repose of, the colluvial slope immediately below; most commonly found on shoulder and back slope positions, and can comprise part or all of a nose slope or side slope."
http://inspire.ec.europa.eu/codelist/NaturalGeomorphologicFeatureTypeValue/glacial, "glaciofluvial, glaciolacustrine and glaciomarine features", "Geomorphologic landscapes and landforms related to to glacial, glaciofluvial, glaciolacustrine and glaciomarine environments."
http://inspire.ec.europa.eu/codelist/NaturalGeomorphologicFeatureTypeValue/headSlope, "head slope", "A geomorphologic component of hills consisting of a laterally concave area of a hillside, especially at the head of a drainage way, resulting in converging overland water flow."
http://inspire.ec.europa.eu/codelist/NaturalGeomorphologicFeatureTypeValue/hill, hill, "A generic term for an elevated area of the land surface, rising at least 30 metres to as much as 300 metres above surrounding lowlands, usually with a nominal summit area relative to bounding slopes, a well-defined, rounded outline and slopes that generally exceed 15 percent."
http://inspire.ec.europa.eu/codelist/NaturalGeomorphologicFeatureTypeValue/hydrothermal, "hydrothermal features", "Geomorphologic landscapes and landforms related to hydrothermal processes."
http://inspire.ec.europa.eu/codelist/NaturalGeomorphologicFeatureTypeValue/impact, "impact features", "Geomorphologic landscapes and landforms related to the impact of extraterrestrial material on the Earth's surface."
http://inspire.ec.europa.eu/codelist/NaturalGeomorphologicFeatureTypeValue/interfluve, interfluve,"A geomorphologic component of hills consisting of the uppermost, comparatively level or gently sloped area of a hill; shoulders of back wearing hill slopes can narrow the upland or merge resulting in a strongly convex shape."
http://inspire.ec.europa.eu/codelist/NaturalGeomorphologicFeatureTypeValue/karstChemicalWeathering, "karst and chemical weathering features", "Geomorphologic landscapes and landforms dominated by mineral dissolution, and commonly, subsurface drainage"
http://inspire.ec.europa.eu/codelist/NaturalGeomorphologicFeatureTypeValue/lacustrine, "lacustrine features", "Geomorphologic landscapes and landforms related to inland permanent water bodies (lakes)."
http://inspire.ec.europa.eu/codelist/NaturalGeomorphologicFeatureTypeValue/marineLittoralCoastalWetland, "marine, littoral and coastal wetlands features", "Geomorphologic landscapes and landforms related to wave or tidal dynamics developed in marine, shallow marine, near-shore and littoral zone environments, and those related to vegetated and / or shallow wet areas"
http://inspire.ec.europa.eu/codelist/NaturalGeomorphologicFeatureTypeValue/mountain, mountain, "A generic term for an elevated area of the land surface, rising more than 300 metres above surrounding lowlands, usually with a nominal summit area relative to bounding slopes and generally with steep sides (greater than 25 percent slope) with or without considerable bare-rock exposed."
http://inspire.ec.europa.eu/codelist/NaturalGeomorphologicFeatureTypeValue/mountainbase, mountainbase, "A geomorphologic component of mountains consisting of the strongly to slightly concave colluvial apron or wedge at the bottom of mountain slopes."
http://inspire.ec.europa.eu/codelist/NaturalGeomorphologicFeatureTypeValue/mountainflank, mountainflank, "A geomorphologic component of mountains characterized by very long, complex back slopes with comparatively high slope gradients and composed of highly-diverse colluvial sediment mantles, rock outcrops or structural benches."
http://inspire.ec.europa.eu/codelist/NaturalGeomorphologicFeatureTypeValue/mountainslope, mountainslope, "A part of a mountain between the summit and the foot."
http://inspire.ec.europa.eu/codelist/NaturalGeomorphologicFeatureTypeValue/mountaintop, mountaintop, "A geomorphologic component of mountains consisting of the uppermost, comparatively level or gently sloped area of mountains, characterized by relatively short, simple slopes composed of bare rock, residuum, or short-transport colluvial sediments."
http://inspire.ec.europa.eu/codelist/NaturalGeomorphologicFeatureTypeValue/naturalGeomorphologicFeature, "natural geomorphologic feature","A geomorphologic feature produced by the natural dynamics."
http://inspire.ec.europa.eu/codelist/NaturalGeomorphologicFeatureTypeValue/nivalPeriglacialPermafrost, "nival, periglacial and permafrost features","Geomorphologic landscapes and landforms related to snow, non-glacial, cold climate environments; geomorphologic landscapes and landforms occurring in the vicinity of glaciers and ice sheets; geomorphologic landscapes and landforms related to ground, soil, or rock that remains at or below 0º C for at least two years."
http://inspire.ec.europa.eu/codelist/NaturalGeomorphologicFeatureTypeValue/noseSlope, "nose slope","A geomorphologic component of hills consisting of the projecting end (laterally convex area) of a hillside, resulting in predominantly divergent overland water flow; contour lines generally form convex curves."
http://inspire.ec.europa.eu/codelist/NaturalGeomorphologicFeatureTypeValue/pediment, pediment, "A gently sloping erosional surface developed at the foot of a receding hill or mountain slope, commonly with a slightly concave-upward profile, that cross-cuts rock or sediment strata that extend beneath adjacent uplands."
http://inspire.ec.europa.eu/codelist/NaturalGeomorphologicFeatureTypeValue/plain, plain, "Any flat area, large or small, at a low elevation; specifically an extensive region of comparatively smooth and level or gently undulaing land, having few or no prominent surface irregularities but sometimes having a considerable slope, and usually at a low elevation with reference to surrounding areas."
http://inspire.ec.europa.eu/codelist/NaturalGeomorphologicFeatureTypeValue/relic, relic, "A landform that has survived decay or disintegration, or one that has been left behind after the disappearance of the greater part of its substance such as a remnant island."
http://inspire.ec.europa.eu/codelist/NaturalGeomorphologicFeatureTypeValue/sideSlope, "side slope", "A geomorphologic component of hills consisting of a laterally planar area of a hillside, resulting in predominantly parallel overland water flow. Contour lines generally form straight lines."
http://inspire.ec.europa.eu/codelist/NaturalGeomorphologicFeatureTypeValue/slopeGravitational, "slope and gravitational features", "Geomorphologic landscapes and landforms related to slope environments; geomorphologic landscapes and landforms developed under the action of the gravitational force."
http://inspire.ec.europa.eu/codelist/NaturalGeomorphologicFeatureTypeValue/tectonicStructural, "tectonic and structural features", "Geomorphologic landscapes and landforms related to regional or local bedrock structures, or crustal movement; and geomorphologic landscapes and landforms related dominantly to water erosion but excluding perennial, channel flow (i.e. fluvial, glaciofluvial), or eolian erosion."
http://inspire.ec.europa.eu/codelist/NaturalGeomorphologicFeatureTypeValue/volcanic, "volcanic features","Geomorphologic landscapes and landforms related to the deep seated (igneous) processes by which magma and associated gases rise through the crust and are extruded onto the earth's surface and into the atmosphere."
http://inspire.ec.europa.eu/codelist/LithologyValue, "LITHOLOGY VALUE"
http://inspire.ec.europa.eu/codelist/CompositionPartRoleValue, "COMPOSITION PART ROLE VALUE", "Roles that a compositional part plays in a geologic unit."
http://epos-ip.org/WP16/Paleomagnetic, "EPOS Paleomagnetic Laboratories"
http://epos-ip.org/WP16/Paleomagnetic/Software, "Software"
http://epos-ip.org/WP16/Paleomagnetic/Protocol, "Lab Protocol"
http://epos-ip.org/WP16/Paleomagnetic/Instrument, "Instrument"
http://epos-ip.org/WP16/Paleomagnetic/Instrument/Demagnetizer, "Demagnetizer"
http://epos-ip.org/WP16/Paleomagnetic/Instrument/Demagnetizer/AF, "AF"
http://epos-ip.org/WP16/Paleomagnetic/Instrument/Demagnetizer/AF/IPGP-2GHDemag, "IPGP-2GHDemag","<b>Manufacturer</b>: 2G (1992)<br><b>Description:</b> Maximum Field, 150mT, 3-Axis"
http://epos-ip.org/WP16/Paleomagnetic/Instrument/Demagnetizer/AF/IPGP-Drusch, "IPGP-Drusch", "<b>Manufacturer</b>:  Drusch (1990)<br><b>Description:</b> Maximum Field, 30 mT, 1-Axis."
http://epos-ip.org/WP16/Paleomagnetic/Instrument/Demagnetizer/AF/IPGP-LDA-3Demag, "IPGP-LDA-3Demag", "<b>Manufacturer</b>: Agico Brno (2002)<br><b>Description:</b> Maximum Field, 100mT, LDA-3 Model, 3-Axis."
http://epos-ip.org/WP16/Paleomagnetic/Instrument/Demagnetizer/AF/IPGP-SMDemagAF, "IPGP-SMDemagAF", "<b>Manufacturer</b>: Custom (1985)<br><b>Description:</b> Maximum Field, 150 mT, 1-Axis."
http://epos-ip.org/WP16/Paleomagnetic/Instrument/Demagnetizer/AF/IPGP-SMDemagAFGE, "IPGP-SMDemagAFGE", "<b>Manufacturer</b>: Custom (1985)<br><b>Description:</b> Maximum Field, 50 mT, Allow the demagnetization of big samples (maximum volume, 12x12x12 cm3), 1-Axis."
http://epos-ip.org/WP16/Paleomagnetic/Instrument/Demagnetizer/AF/IPGP-Schonstedt, "IPGP-Schonstedt", "<b>Manufacturer</b>: Schonstedt (1980)<br><b>Description:</b> Maximum Field, 90 mT, 1-Axis."
http://epos-ip.org/WP16/Paleomagnetic/Instrument/Demagnetizer/AF/IRM-Dtech, "IRM-Dtech", "<b>Manufacturer</b>: Dtech (1998)<br><b>Description:</b> D2000 Model, Non-Tumbling, Dtech D2000 AF Demagnetizer."
http://epos-ip.org/WP16/Paleomagnetic/Instrument/Demagnetizer/AF/IRM-GSD1, "IRM-GSD1", "<b>Manufacturer</b>: Schoenstedt (1986)<br><b>Description:</b> GSD-1 Model, Non-Tumbling."
http://epos-ip.org/WP16/Paleomagnetic/Instrument/Demagnetizer/AF/SIO-Suzy, "SIO-Suzy", "<b>Manufacturer</b>: Sapphire Instruments (1997)<br><b>Description:</b> SI-4 Model, 1-Axis."
http://epos-ip.org/WP16/Paleomagnetic/Instrument/Demagnetizer/Thermal, "Thermal"
http://epos-ip.org/WP16/Paleomagnetic/Instrument/Demagnetizer/Thermal/IPGP-Farcheo, "IPGP-Farcheo", "<b>Manufacturer</b>: Custom (2001)<br><b>Description:</b> Capacity, 10 paleomagnetic standard samples, Maximum Heating Step, 550&deg;C, Heating time, 30 mm , Cooling time, 30 mm, 1-Chamber."
http://epos-ip.org/WP16/Paleomagnetic/Instrument/Demagnetizer/Thermal/IPGP-Oven1, "IPGP-Oven1", "<b>Manufacturer</b>: Pyrox (1982)<br><b>Description:</b> Capacity, 30 paleomagnetic standard samples, Residual Magnetic field, 20nT, Maximum Heating Step, 700&deg;C, Heating time, between 40 mm and 1H30, Cooling time, between 20 and 40 mm, Separate Heating and Cooling Chambers."
http://epos-ip.org/WP16/Paleomagnetic/Instrument/Demagnetizer/Thermal/IPGP-Oven2, "IPGP-Oven2", "<b>Manufacturer</b>: Pyrox (1989)<br><b>Description:</b> Capacity, 30 paleomagnetic standard samples, Residual Magnetic field, 20nT, Maximum Heating Step, 700&deg;C, Heating time, between 40 mm and 1H30, Cooling time, between 20 and 40 mm, Separate Heating and Cooling Chambers."
http://epos-ip.org/WP16/Paleomagnetic/Instrument/Demagnetizer/Thermal/IPGP-Oven3, "IPGP-Oven3", "<b>Manufacturer</b>: Pyrox (1995)<br><b>Description:</b> Capacity, 30 paleomagnetic standard samples, Residual Magnetic field, 30nT, Maximum Heating Step, 700&deg;C, Heating time, 2H, 1-Chamber."
http://epos-ip.org/WP16/Paleomagnetic/Instrument/Demagnetizer/Thermal/IPGP-Oven4, "IPGP-Oven4", "<b>Manufacturer</b>: Pyrox (1993)<br><b>Description:</b> Capacity, 6 paleomagnetic standard samples, Residual Magnetic field, less than 10 nT, Maximum Heating Step, 700&deg;C, Heating time, 3H, precision of the temperature, 1&deg;C, 1-Chamber."
http://epos-ip.org/WP16/Paleomagnetic/Instrument/Demagnetizer/Thermal/IPGP-Oven5, "IPGP-Oven5", "<b>Manufacturer</b>: Custom (2001)<br><b>Description:</b> Capacity, 10 paleomagnetic standard samples, Residual Magnetic field, less than 10 nT, Maximum Heating Step, 700&deg;C, Heating time, 3H, precision of the temperature, 1&deg;C, 1-Chamber."
http://epos-ip.org/WP16/Paleomagnetic/Instrument/Demagnetizer/Thermal/IPGP-SMOven1+2, "IPGP-SMOven1&2", "<b>Manufacturer</b>: Custom (1980)<br><b>Description:</b> Capacity, 18 paleomagnetic standard samples, Maximum Heating Step, 700&deg;C, 1-Chamber."
http://epos-ip.org/WP16/Paleomagnetic/Instrument/Demagnetizer/Thermal/IRM-TD, "IRM-TD", "<b>Manufacturer</b>: Schoenstedt (1986)<br><b>Description:</b> TSD-1 Model, Separate Heating and Cooling Chambers."
http://epos-ip.org/WP16/Paleomagnetic/Instrument/Demagnetizer/Thermal/SIO-Odette, "SIO-Odette", "<b>Manufacturer</b>: Custom (2002)<br><b>Description:</b> 1-Chamber, SIO Custom Software."
http://epos-ip.org/WP16/Paleomagnetic/Instrument/Demagnetizer/Pulse, "Pulse"
http://epos-ip.org/WP16/Paleomagnetic/Instrument/Demagnetizer/Pulse/SIO-Boom,"SIO-Boom", "<b>Manufacturer</b>: ASC (1996)<br><b>Description:</b> 1-Axis."
http://epos-ip.org/WP16/Paleomagnetic/Instrument/Cryostat, "Cryostat"
http://epos-ip.org/WP16/Paleomagnetic/Instrument/Cryostat/AGM, "AGM"
http://epos-ip.org/WP16/Paleomagnetic/Instrument/Cryostat/AGM/IRM-AGMC, "IRM-AGMC", "<b>Manufacturer</b>: Princeton Measurements Co. (1991)<br><b>Description:</b> Flowing He Gas."
http://epos-ip.org/WP16/Paleomagnetic/Instrument/Cryostat/VSM, "VSM"
http://epos-ip.org/WP16/Paleomagnetic/Instrument/Cryostat/VSM/IRM-VSM1C, "IRM-VSM1C", "<b>Manufacturer</b>: Lakeshore Cryotronics (1986)<br><b>Description:</b> Liquid Nitrogen."
http://epos-ip.org/WP16/Paleomagnetic/Instrument/Cryostat/VSM/IRM-VSM3C, "IRM-VSM3C", "<b>Manufacturer</b>: Princeton Measurements Co. (1998)<br><b>Description:</b> T Model, Transverse, Hoffmann et al. 1987."
http://epos-ip.org/WP16/Paleomagnetic/Instrument/DomainImager, "DomainImager"
http://epos-ip.org/WP16/Paleomagnetic/Instrument/DomainImager/MagneticForceMicroscope, "Magnetic Force Microscope"
http://epos-ip.org/WP16/Paleomagnetic/Instrument/DomainImager/MagnetoOpticKerrEffect, "Magneto-Optic Kerr Effect"
http://epos-ip.org/WP16/Paleomagnetic/Instrument/DomainImager/MagneticForceMicroscope/RM-MFM, "RM-MFM", "<b>Manufacturer</b>: Digital Instruments (1992)<br><b>Description:</b> Multi-Mode Model, Amplitude and Phase Detection, Digital Instruments NanoScope III, Sarid 1991."
http://epos-ip.org/WP16/Paleomagnetic/Instrument/DomainImager/MagnetoOpticKerrEffect/IRM-MOKE, "IRM-MOKE", "<b>Manufacturer</b>: Leitz, Hamamatsu, Sony components (1991)<br><b>Description:</b> Flowing He Gas."
http://epos-ip.org/WP16/Paleomagnetic/Instrument/Furnace, "Furnace"
http://epos-ip.org/WP16/Paleomagnetic/Instrument/Furnace/Bridge, "Bridge"
http://epos-ip.org/WP16/Paleomagnetic/Instrument/Furnace/Bridge/RM-KappaF, "RM-KappaF", "<b>Manufacturer</b>: Geofyzika Brno (1994)<br><b>Description:</b> Uncontrolled Atmosphere, Geofyzika Brno with IRM Modification."
http://epos-ip.org/WP16/Paleomagnetic/Instrument/Furnace/Bridge/IRM-KappaFAr, "IRM-KappaFAr", "<b>Manufacturer</b>: Geofyzika Brno (1994)<br><b>Description:</b> Flowing Ar Gas, Geofyzika Brno with IRM Modification."
http://epos-ip.org/WP16/Paleomagnetic/Instrument/Furnace/VSM, "VSM"
http://epos-ip.org/WP16/Paleomagnetic/Instrument/Furnace/VSM/IRM-VSM1F, "IRM-VSM1F", "<b>Manufacturer</b>: Custom (1986)<br><b>Description:</b> Sealed Atmosphere."
http://epos-ip.org/WP16/Paleomagnetic/Instrument/Furnace/VSM/IRM-VSM2F, "IRM-VSM2F", "<b>Manufacturer</b>: Princeton Measurements Co. (1995)<br><b>Description:</b> Flowing He Gas."
http://epos-ip.org/WP16/Paleomagnetic/Instrument/Magnetizer, "Magnetizer"
http://epos-ip.org/WP16/Paleomagnetic/Instrument/Magnetometer, "Magnetometer"
http://epos-ip.org/WP16/Paleomagnetic/Instrument/Magnetostrictometer, "Magnetostrictometer"
http://epos-ip.org/WP16/Paleomagnetic/Instrument/PulseMagnetizer, "Pulse Magnetizer"
http://epos-ip.org/WP16/Paleomagnetic/Instrument/Spectrometer, "Spectrometer"
http://epos-ip.org/WP16/Paleomagnetic/Instrument/Susceptometer, "Susceptometer"
http://epos/WP16Vocabulary/AnalogueMaterial/Microsphere,"Microspheres","Hollow microspheres of various composition (e.g. aluminium hydroxid or silica) with different particle sizes and colours. The use of hollow materials implies the possibility of the load-driven crushing of microspheres, which significantly alters their frictional and physical properties. (see e.g. Rossi and Storti, 2003)."
http://epos/WP16Vocabulary/AnalogueMaterial/Microsphere/Glassy,"Glassy","Glass microspheres"
http://epos/WP16Vocabulary/AnalogueMaterial/Microsphere/Siliceus,"Siliceus","Siliceus microspheres"
http://epos/WP16Vocabulary/AnalogueMaterial/PVCRoods,"PVC rods","(see e.g. Bilotta et al., 2002; Ibraim et al., 2010 for details)."
http://epos/WP16Vocabulary/AnalogueMaterial/PolycristallineCaTiO3,"Polycrystalline CaTiO3","(see e.g. Bilotta et al., 2002; Ibraim et al., 2010 for details)."
http://epos/WP16Vocabulary/AnalogueMaterial/Sand,"Sand","Sand or sand mixture with granules of different size and shapes (see e.g. Schellart et al., 2001; Lohrman et al., 2003; Panien et al., 2006; for details)."
http://epos/WP16Vocabulary/AnalogueMaterial/Sand/Corundum,"Corundum Sand","Sand composed of corundum granules of different size and shapes (see e.g. Schellart et al., 2001; Lohrman et al., 2003; Panien et al., 2006; for details)."
http://epos/WP16Vocabulary/AnalogueMaterial/Sand/Quartz,"Quartz Sand","Sand composed of quartz granules of different size and shapes (see e.g. Schellart et al., 2001; Lohrman et al., 2003; Panien et al., 2006; for details)."
http://epos/WP16Vocabulary/AnalogueMaterial/Sand/Feldspar,"Feldspar Sand","Sand composed of feldspar granules of different size and shapes (see e.g. Schellart et al., 2001; Lohrman et al., 2003; Panien et al., 2006; for details)."
http://epos/WP16Vocabulary/AnalogueMaterial/GlassFragments,"Glass fragments","Small (few millimiters or less) and angular fragments of glass."
http://epos/WP16Vocabulary/AnalogueMaterial/RubberPellet,"Rubber","synthetic rubber/elastomer, e.g. EPDM (ethylene propylene diene monomer), in different grain sizes (flour, pellets)"
http://epos/WP16Vocabulary/AnalogueMaterial/Sugar,"Sugar","Refined sugar, either granulated or in water solution"
http://epos/WP16Vocabulary/AnalogueMaterial/AluminaPowder,"Alumina Powder"
http://epos/WP16Vocabulary/AnalogueMaterial/IronPowder,"Iron Powder"
http://epos/WP16Vocabulary/AnalogueMaterial/Ignimbrite,"Ignimbrite"
http://epos/WP16Vocabulary/AnalogueMaterial/Graphyte,"Graphyte"
http://epos/WP16Vocabulary/AnalogueMaterial/Plastic,"Plastic","e.g. plexiglass, Homalite, Polycarbonate"
http://epos/WP16Vocabulary/AnalogueMaterial/Flour,"Flour","Generic flour, starch flour?"
http://epos/WP16Vocabulary/AnalogueMaterial/Flour/Rice,"Rice","Unccoked seed of the grass species, long-, medium-, and short-grained"
http://epos/WP16Vocabulary/AnalogueMaterial/Air,"Air","Pressurized"
http://epos/WP16Vocabulary/AnalogueMaterial/Nitrogen,"Nitrogen","A chemical element with symbol N and atomic number 7."
http://epos/WP16Vocabulary/AnalogueMaterial/VegetableOil,"Vegetable oil"
http://epos/WP16Vocabulary/AnalogueMaterial/Water,"Water"
http://epos/WP16Vocabulary/AnalogueMaterial/Pyrex,"Pyrex"
http://epos/WP16Vocabulary/AnalogueMaterial/WatSaturatedPaste,"Water saturated paste"
http://epos/WP16Vocabulary/AnalogueMaterial/GoldenSyrup,"Golden syrup","Glucose syrup or honey. Glucose syrup is a liquid starch hydrolysate of mono-saccharides, di-saccharides and higher-saccharides, and is most often made from corn starch (it is therefore also frequently referred to as corn syrup). Glucose syrup and honey mostly consists of carbohydrates and water. These materials are used in analogue models to simulate the low-viscosity sub-lithospheric mantle and therefore to inspect on lithospheric deformation and fluid dynamic models of mantle flow. (see e.g. Schellart, 2011 for details)."
http://epos/WP16Vocabulary/AnalogueMaterial/Carbopol,"Carbopol","Carbopol identifies a polymer family based on modified cross-linked acrylic acid (the unit structure of the polymer) chemistry. The polymers are produced from primary polymer particles of about 0.2 to 6.0 μm average diameter. Each particle can be seen as a net- work structure of polymer chains interconnected via cross-linking. Such polymers, available as fluffy white powders, absorb water, get hydrated and swell. "
http://epos/WP16Vocabulary/AnalogueMaterial/Clay,"Clay","Finely-grained natural rock or soil material that combines one or more clay minerals and having particle size smaller than 4–5 μm. (see e.g. Cooke and van der Elst, 2012 for details)"
http://epos/WP16Vocabulary/AnalogueMaterial/Paraffin,"Paraffin","It belongs to a class of hydrocarbons with the general formula CnH2nþ2, generally known as alkanes or paraffins (sensu lato). Paraffin oil is a complex liquid mixture of saturated alkanes in the range of C10 to C18 (Freund et al., 1982) with a density of 0.8e 0.9 g/cm3. It is translucent and odourless. Pure paraffin oil is a liquid at room temperature (Park and Song, 2010). (see e.g. Duarte et al., 2014 for details)."
http://epos/WP16Vocabulary/AnalogueMaterial/Silicon,"Silicon/Silly putty/PDMS","Silicones, also known as polysiloxanes, are polymers that include any inert, synthetic compound made up of repeating units of siloxane, which is a chain of alternating silicon atoms and oxygen atoms, frequently combined with carbon and/or hydrogen. Some common forms include silicone oil, silicone grease, silicone rubber, silicone resin, and silicone caulk. (Wikipedia) Silicone polymers are generally mixed with various amounts of granular fillers or plasticine in order to vary the effective viscosity or the density of a material. (see e.g. Boutelier et al., 2008 for details)."
http://epos/WP16Vocabulary/AnalogueMaterial/Plasticine,"Plasticine","The organic matrix of plasticine consists of wax, Vaseline, oil and lubrication solvent. The fillers are generally inorganic (e.g. calcite, barite, kaolinite, fluorite and illite and small amounts of dyes such as titanium dioxide, magnetite or haematite) or organic (e.g. potato starch). The amount of filler volume ranges from 56% to 40%. Plasticine has been used to simulate geological structures such as folds, boudins, diapirs etc. (J. Zulauf and G. Zulauf, 2004)."
http://epos/WP16Vocabulary/AnalogueMaterial/Cement,"Cement-Plaster","The most common types of plaster mainly contain either gypsum, lime, or cement. The plaster is manufactured as a dry powder and is mixed with water to form a stiff but workable paste immediately before it is applied to the surface. The reaction with water liberates heat through crystallization and the hydrated plaster then hardens. Cement plaster is a mixture of suitable plaster, sand, portland cement and water. "
http://epos/WP16Vocabulary/AnalogueMaterial/Gelatine,"Gelatine","“Gelatine” is the ordinary name for particular biopolymers. The term is used for both plant and animal biopolymers. They are naturally occurring long-chain polymers either composed of amino acids (peptides, polypeptides, proteins) or of saccharides (mono-, oligo-, and polysaccharides). Such macromolecules, available in tasteless and odorless powder form, are water diluted in small quantities. (Di Giuseppe et al., 2009)"
http://epos/WP16Vocabulary/AnalogueMaterial/Gelatine/PigSkin,"Pig skin","Gelatine extracted from the skin of domesticated pigs."
http://epos/WP16Vocabulary/AnalogueMaterial/Gelatine/K-caragean,"K-caragean","Carrageenans or carrageenins are a family of linear sulfated polysaccharides that are extracted from red edible seaweeds. There are three main varieties of carrageenan, which differ in their degree of sulphation. Kappa-carrageenan has one sulphate group per disaccharide, Iota-carrageenan has two, and Lambda-carrageenan has three. Kappa forms strong, rigid gels in the presence of potassium ions; it reacts with dairy proteins. It is sourced mainly from Kappaphycus alvarezii. "
http://epos/WP16Vocabulary/AnalogueMaterial/Gelatine/GellanGum,"Gellan gum","Gellan gum is a water-soluble anionic polysaccharide produced by the bacterium Sphingomonas elodea (formerly Pseudomonas elodea)."
http://epos/WP16Vocabulary/AnalogueMaterial/Gelatine/Xantan,"Xantan","A polysaccharide. It is a powerful thickening agent, and also has uses as a stabilizer to prevent ingredients from separating. It can be produced from a range of simple sugars using a fermentation process, and derives its name from the strain of bacteria used in this: Xanthomonas campestris.("
http://epos/WP16Vocabulary/AnalogueMaterial/Natrosol,"Natrosol","Natrosol hydroxyethylcellulose (HEC) is a series of off-white powders that are easily dispersed and dissolved in cold or hot water, to produce solutions of varying viscosities. Chemically, it is cellulose of short to very long chain length that has been etherified to a hydroxyethyl ether to achieve an optimum balance of properties. Natrosol is used as a viscosity and rheology modifier, protective colloid, water retention agent, stabilizer, and suspending agent, particularly in those applications where a nonionic material is desired. "
http://epos/WP16Vocabulary/AnalogueMaterial/Glycerine,"Glycerine","(or glycerol, glycerin) is a simple polyol compound. It is a colorless, odorless, viscous liquid. The glycerol backbone is found in all lipids known as triglycerides. Glycerol has three hydroxyl groups that are responsible for its solubility in water and its hygroscopic nature. Glycerol is generally obtained from plant and animal sources where it occurs as triglycerides (esters of glycerol with long-chain carboxylic acids). "
http://epos/WP16Vocabulary/AnalogueMaterial/FoamGlass,"Foam glass"
http://epos/WP16Vocabulary/AnalogueMaterial/FoamRubber,"Foam rubber","Foam rubber (also known as cellular, sponge, or expanded rubber) refers to rubber that has been manufactured with a foaming agent to create an air-filled matrix structure. Commercial foam rubbers are generally made of either polyurethane or natural latex."
http://epos/WP16Vocabulary/AnalogueMaterial/Polytungstate,"Polytungstate","Solid Sodium polytungstate (SPT)  exists as white crystals and aqueous SPT is a light yellow-green transparent solution. In powder form, SPT is a 12-fold aggregated isopolytungstate. Due to its very high solubility in water (max. density 3.1 g/cm3) SPT is widely used as a heavy liquid for gravity separation (sink swim analysis) and density gradient centrifugation. Aqueous SPT is non-toxic, non-flammable, odorless, reusable and additionally it has a low viscosity."
http://epos/WP16Vocabulary/AnalogueMaterial/BariumSulphate,"Barium sulphate","(or sulphate) is the inorganic compound with the chemical formula BaSO4. It is a white crystalline solid that is odorless and insoluble in water. It occurs as the mineral barite, which is the main commercial source of barium and materials prepared from it. It has white opaque appearance and high density. "
http://epos/WP16Vocabulary/Apparatus,"Apparatus"
http://epos/WP16Vocabulary/Apparatus/2D_Convection_box,"2D Convection box"
http://epos/WP16Vocabulary/Apparatus/3D_Convection_box,"3D Convection box"
http://epos/WP16Vocabulary/Apparatus/Cooler_device,"Cooler device"
